No,station_name,lacation,train_num,train_num_count
0,北京北站,"116.35948940889922,39.95165522132587","['D6702', 'D6703', 'D6708', 'D6709', 'D6711', 'D6718', 'D6722', 'D6723', 'D9270', 'G2457', 'G2458', 'G2459', 'G2460', 'G2461', 'G2462', 'G2463', 'G2464', 'G2465', 'G2466', 'G2467', 'G2468', 'G2469', 'G2470', 'G2471', 'G2472', 'G2473', 'G2474', 'G2475', 'G2476', 'G2477', 'G2478', 'G2491', 'G2492', 'G2493', 'G2494', 'G2495', 'G2496', 'G2531', 'G2532', 'G2533', 'G2534', 'G2535', 'G2536', 'G2537', 'G2538', 'G2539', 'G2540', 'G2541', 'G2542', 'G7881', 'G7882', 'S501', 'S502', 'S503', 'S504', 'S511', 'S512', 'S513', 'S514', 'S515', 'S516', 'S517', 'S518']",63
1,北京东站,"116.49067192692948,39.90817264355125","['S102', 'S106', 'S109', 'S112']",4
2,北京南站,"116.38548789747735,39.871280236128875","['C125', 'C126', 'C127', 'C128', 'C129', 'C130', 'C2002', 'C2003', 'C2004', 'C2005', 'C2008', 'C2009', 'C2010', 'C2013', 'C2014', 'C2015', 'C2017', 'C2018', 'C2019', 'C2020', 'C2021', 'C2022', 'C2023', 'C2024', 'C2025', 'C2026', 'C2027', 'C2029', 'C2030', 'C2031', 'C2032', 'C2033', 'C2034', 'C2035', 'C2036', 'C2037', 'C2038', 'C2039', 'C2040', 'C2041', 'C2042', 'C2043', 'C2044', 'C2045', 'C2047', 'C2048', 'C2049', 'C2050', 'C2051', 'C2052', 'C2053', 'C2054', 'C2055', 'C2056', 'C2057', 'C2058', 'C2060', 'C2061', 'C2062', 'C2063', 'C2064', 'C2065', 'C2066', 'C2067', 'C2068', 'C2071', 'C2074', 'C2075', 'C2076', 'C2077', 'C2078', 'C2080', 'C2083', 'C2085', 'C2086', 'C2087', 'C2088', 'C2089', 'C2090', 'C2091', 'C2092', 'C2093', 'C2095', 'C2201', 'C2202', 'C2203', 'C2204', 'C2205', 'C2206', 'C2208', 'C2209', 'C2210', 'C2211', 'C2212', 'C2213', 'C2214', 'C2216', 'C2217', 'C2218', 'C2220', 'C2221', 'C2222', 'C2223', 'C2224', 'C2225', 'C2226', 'C2227', 'C2228', 'C2230', 'C2551', 'C2552', 'C2553', 'C2554', 'C2555', 'C2556', 'C2557', 'C2558', 'C2559', 'C2560', 'C2561', 'C2562', 'C2563', 'C2564', 'C2565', 'C2566', 'C2567', 'C2568', 'C2569', 'C2570', 'C2571', 'C2572', 'C2573', 'C2574', 'C2576', 'C2577', 'C2578', 'C2579', 'C2581', 'C2582', 'C2583', 'C2584', 'C2585', 'C2586', 'C2587', 'C2588', 'C2589', 'C2590', 'C2591', 'C2592', 'C2593', 'C2594', 'C2595', 'C2596', 'C2597', 'C2605', 'C2608', 'C2610', 'C2613', 'C2614', 'C2615', 'C2616', 'C2617', 'C2619', 'C2621', 'C2622', 'C2623', 'C2624', 'C2625', 'C2626', 'C2627', 'C2628', 'C2629', 'C2630', 'C2631', 'C2632', 'C2633', 'C2634', 'C2635', 'C2637', 'C2638', 'C2639', 'C2640', 'C2642', 'C2643', 'C2644', 'C2646', 'C2647', 'C2648', 'C2649', 'C2650', 'C2651', 'C2652', 'C2653', 'C2654', 'C2655', 'C2657', 'C2660', 'C2661', 'C2664', 'C2666', 'C2668', 'C2669', 'C2671', 'C2674', 'C2678', 'C2681', 'D709', 'D710', 'G1', 'G10', 'G101', 'G102', 'G103', 'G104', 'G1045', 'G1047', 'G1048', 'G1049', 'G105', 'G1050', 'G1053', 'G1054', 'G106', 'G1061', 'G1062', 'G1063', 'G1064', 'G1065', 'G1066', 'G1067', 'G1068', 'G1069', 'G107', 'G1070', 'G1071', 'G1072', 'G1073', 'G1074', 'G1075', 'G1076', 'G1077', 'G1078', 'G1079', 'G108', 'G1080', 'G1083', 'G1084', 'G1085', 'G1086', 'G1087', 'G1088', 'G1089', 'G109', 'G1090', 'G1091', 'G1092', 'G1094', 'G1099', 'G11', 'G110', 'G1100', 'G111', 'G112', 'G113', 'G114', 'G115', 'G116', 'G117', 'G118', 'G119', 'G12', 'G121', 'G122', 'G123', 'G124', 'G125', 'G126', 'G127', 'G128', 'G129', 'G13', 'G130', 'G131', 'G132', 'G133', 'G134', 'G135', 'G136', 'G137', 'G138', 'G139', 'G14', 'G140', 'G141', 'G142', 'G143', 'G144', 'G145', 'G146', 'G147', 'G148', 'G149', 'G15', 'G150', 'G151', 'G152', 'G153', 'G154', 'G156', 'G1565', 'G1566', 'G1567', 'G1568', 'G157', 'G158', 'G159', 'G1595', 'G1596', 'G1597', 'G1598', 'G16', 'G160', 'G161', 'G162', 'G163', 'G169', 'G17', 'G170', 'G171', 'G172', 'G173', 'G174', 'G176', 'G177', 'G178', 'G179', 'G18', 'G180', 'G181', 'G182', 'G183', 'G184', 'G185', 'G186', 'G187', 'G189', 'G19', 'G190', 'G191', 'G192', 'G193', 'G194', 'G195', 'G196', 'G197', 'G198', 'G2', 'G20', 'G201', 'G202', 'G203', 'G204', 'G205', 'G206', 'G207', 'G208', 'G209', 'G21', 'G210', 'G211', 'G212', 'G213', 'G214', 'G219', 'G22', 'G220', 'G23', 'G24', 'G25', 'G2551', 'G2552', 'G2553', 'G2554', 'G2555', 'G2556', 'G2557', 'G2558', 'G2561', 'G2562', 'G2563', 'G2564', 'G2565', 'G2566', 'G2568', 'G2571', 'G2572', 'G2573', 'G2575', 'G2577', 'G2578', 'G2580', 'G2581', 'G2582', 'G2584', 'G2585', 'G2586', 'G2587', 'G2588', 'G2589', 'G2590', 'G2594', 'G2595', 'G2596', 'G26', 'G27', 'G28', 'G3', 'G301', 'G302', 'G303', 'G304', 'G31', 'G32', 'G321', 'G322', 'G323', 'G324', 'G325', 'G326', 'G33', 'G34', 'G35', 'G36', 'G37', 'G38', 'G381', 'G382', 'G383', 'G384', 'G39', 'G395', 'G396', 'G397', 'G398', 'G4', 'G40', 'G41', 'G42', 'G43', 'G44', 'G45', 'G46', 'G497', 'G498', 'G5', 'G6', 'G7', 'G7801', 'G7802', 'G7803', 'G7804', 'G8', 'G887', 'G888', 'G8901', 'G8902', 'G8904', 'G8906', 'G8910', 'G8912', 'G8915', 'G8917', 'G8918', 'G8923', 'G8924', 'G8926', 'G8927', 'G8928', 'G8929', 'G8932', 'G8935', 'G8936', 'G9']",483
3,北京大兴站,"116.33430496477423,39.72644408532533","['C2702', 'C2707', 'C2708', 'C2710', 'C2714', 'C2719', 'C2721', 'C2726', 'C2735', 'C2736']",10
4,北京西站,"116.32810279404168,39.90083463437583","['6437', '6438', 'C2701', 'C2702', 'C2703', 'C2705', 'C2706', 'C2707', 'C2708', 'C2709', 'C2710', 'C2711', 'C2712', 'C2714', 'C2715', 'C2716', 'C2718', 'C2719', 'C2721', 'C2722', 'C2723', 'C2726', 'C2727', 'C2728', 'C2729', 'C2730', 'C2731', 'C2732', 'C2735', 'C2736', 'D901', 'D902', 'D903', 'D904', 'D909', 'D910', 'D921', 'D922', 'D923', 'D924', 'D927', 'D928', 'G1515', 'G1516', 'G1527', 'G1528', 'G1555', 'G1556', 'G1557', 'G1558', 'G1560', 'G1561', 'G1571', 'G1572', 'G1577', 'G1578', 'G1579', 'G1580', 'G1585', 'G1586', 'G1587', 'G1588', 'G1589', 'G1590', 'G1591', 'G1592', 'G1593', 'G1594', 'G307', 'G308', 'G331', 'G332', 'G333', 'G334', 'G335', 'G336', 'G337', 'G338', 'G339', 'G340', 'G351', 'G352', 'G371', 'G372', 'G387', 'G388', 'G401', 'G402', 'G421', 'G422', 'G429', 'G430', 'G479', 'G480', 'G481', 'G482', 'G483', 'G484', 'G485', 'G486', 'G501', 'G502', 'G503', 'G504', 'G505', 'G506', 'G507', 'G508', 'G51', 'G511', 'G512', 'G52', 'G521', 'G522', 'G523', 'G524', 'G525', 'G526', 'G527', 'G528', 'G53', 'G54', 'G55', 'G551', 'G552', 'G553', 'G554', 'G555', 'G556', 'G56', 'G561', 'G562', 'G563', 'G57', 'G570', 'G571', 'G572', 'G58', 'G59', 'G60', 'G65', 'G651', 'G652', 'G653', 'G654', 'G655', 'G656', 'G657', 'G659', 'G66', 'G660', 'G661', 'G662', 'G663', 'G664', 'G665', 'G666', 'G67', 'G6701', 'G6702', 'G6703', 'G6704', 'G6706', 'G6707', 'G6709', 'G671', 'G6710', 'G6713', 'G6714', 'G6715', 'G6716', 'G6717', 'G6718', 'G6719', 'G672', 'G6722', 'G6723', 'G6724', 'G6726', 'G6727', 'G6729', 'G673', 'G6730', 'G6731', 'G6732', 'G6733', 'G6734', 'G6736', 'G6737', 'G674', 'G6740', 'G6741', 'G6742', 'G6743', 'G68', 'G685', 'G686', 'G687', 'G688', 'G689', 'G69', 'G690', 'G70', 'G71', 'G72', 'G73', 'G74', 'G77', 'G78', 'G7811', 'G7812', 'G7813', 'G7814', 'G7815', 'G7816', 'G7817', 'G7818', 'G79', 'G80', 'G801', 'G802', 'G803', 'G804', 'G805', 'G806', 'G807', 'G808', 'G81', 'G811', 'G812', 'G82', 'G83', 'G84', 'G87', 'G871', 'G872', 'G873', 'G874', 'G88', 'G89', 'G891', 'G892', 'G893', 'G894', 'G895', 'G896', 'G90', 'G91', 'G92', 'G93', 'G94', 'G95', 'G96', 'G97', 'G98', 'K105', 'K106', 'K1115', 'K1116', 'K1117', 'K1118', 'K117', 'K118', 'K157', 'K158', 'K179', 'K180', 'K21', 'K22', 'K261', 'K262', 'K267', 'K268', 'K269', 'K270', 'K401', 'K402', 'K473', 'K474', 'K507', 'K508', 'K5219', 'K5220', 'K571', 'K572', 'K573', 'K574', 'K601', 'K602', 'K7707', 'K7708', 'K7751', 'K7752', 'K7753', 'K7754', 'K817', 'K818', 'K89', 'K90', 'K965', 'K966', 'K967', 'K968', 'S101', 'S102', 'S103', 'S104', 'S105', 'S106', 'S107', 'S108', 'S109', 'S110', 'S111', 'S112', 'T10', 'T145', 'T146', 'T147', 'T148', 'T167', 'T168', 'T175', 'T176', 'T231', 'T232', 'T287', 'T288', 'T289', 'T290', 'T41', 'T42', 'T49', 'T50', 'T7', 'T8', 'T9', 'Y505', 'Y506', 'Z1', 'Z129', 'Z130', 'Z149', 'Z150', 'Z151', 'Z152', 'Z161', 'Z162', 'Z179', 'Z180', 'Z19', 'Z2', 'Z20', 'Z21', 'Z22', 'Z275', 'Z276', 'Z277', 'Z278', 'Z285', 'Z286', 'Z3', 'Z37', 'Z38', 'Z4', 'Z43', 'Z44', 'Z49', 'Z5', 'Z50', 'Z501', 'Z502', 'Z503', 'Z53', 'Z54', 'Z55', 'Z56', 'Z6', 'Z69', 'Z70', 'Z77', 'Z78', 'Z835', 'Z836', 'Z837', 'Z838', 'Z95', 'Z96']",388
5,北京朝阳站,"116.51432269405727,39.950995496942696","['G3501', 'G3502', 'G3503', 'G3504', 'G3505', 'G3506', 'G3507', 'G3508', 'G3509', 'G3510', 'G3511', 'G3512', 'G3513', 'G3514', 'G3515', 'G3516', 'G3517', 'G3518', 'G3519', 'G3520', 'G3521', 'G3522', 'G3523', 'G3524', 'G3525', 'G3526', 'G3527', 'G3528', 'G3529', 'G3530', 'G3531', 'G3532', 'G3601', 'G3602', 'G3603', 'G3606', 'G3608', 'G3609', 'G3621', 'G3622', 'G3623', 'G3624', 'G3625', 'G3626', 'G3627', 'G3628', 'G3645', 'G3646', 'G3647', 'G3648', 'G3649', 'G3650', 'G3651', 'G3652', 'G3653', 'G3654', 'G3655', 'G3656', 'G3661', 'G3662', 'G3663', 'G3664', 'G3665', 'G3666', 'G3667', 'G3668', 'G3669', 'G3670', 'G3671', 'G3672', 'G3673', 'G3674', 'G3675', 'G3676', 'G3677', 'G3678', 'G3679', 'G3680', 'G3691', 'G3692', 'G3693', 'G3694', 'G3695', 'G3696', 'G3697', 'G3698', 'G7811', 'G7812', 'G7813', 'G7814', 'G7815', 'G7816', 'G7817', 'G7818', 'G7851', 'G7852', 'G7853', 'G7854', 'G7855', 'G7856', 'G7861', 'G7862', 'G7863', 'G7864', 'G901', 'G904', 'G905', 'G906', 'G909', 'G910', 'G919', 'G920', 'G921', 'G922', 'G923', 'G924', 'G925', 'G926', 'G927', 'G928', 'G929', 'G930', 'G931', 'G932', 'G933', 'G934', 'G935', 'G936', 'G937', 'G938', 'G939', 'G940', 'G941', 'G951', 'G952', 'G953', 'G955', 'G956', 'G957', 'G958', 'G960', 'G961', 'G962', 'G971', 'G972', 'G973', 'G974', 'G975', 'G976', 'G977', 'G978', 'G979', 'G980', 'G981', 'G982', 'G983', 'G984', 'G985', 'G986', 'G987', 'G988', 'G989', 'G990']",163
6,北京丰台站,"116.30799548282855,39.85773742226655","['1303', '1304', '2601', '2603', '2604', '6437', '6438', 'C125', 'C126', 'C127', 'C128', 'C129', 'C130', 'D727', 'D728', 'D733', 'D734', 'D735', 'D736', 'D737', 'D738', 'D739', 'D740', 'D745', 'D746', 'D759', 'D760', 'G601', 'G602', 'G603', 'G604', 'G605', 'G606', 'G607', 'G608', 'G609', 'G61', 'G610', 'G611', 'G612', 'G613', 'G614', 'G615', 'G616', 'G618', 'G62', 'G620', 'G621', 'G622', 'G623', 'G624', 'G625', 'G626', 'G627', 'G628', 'G629', 'G63', 'G6708', 'G6711', 'G6712', 'G6735', 'G6738', 'G6739', 'G681', 'G682', 'G683', 'G684', 'G791', 'G792', 'G793', 'G794', 'G9913', 'K105', 'K106', 'K1071', 'K1072', 'K1109', 'K1110', 'K1275', 'K1276', 'K1277', 'K1278', 'K1453', 'K1454', 'K1455', 'K1456', 'K1457', 'K1458', 'K1611', 'K1612', 'K1613', 'K1614', 'K1901', 'K1902', 'K1903', 'K1904', 'K5223', 'K5224', 'K5237', 'K5238', 'K5239', 'K5240', 'K571', 'K572', 'K597', 'K598', 'K599', 'K600', 'K601', 'K602', 'K603', 'K604', 'K609', 'K610', 'K7725', 'K7726', 'K7727', 'K7728', 'K885', 'K886', 'K887', 'K888', 'T55', 'T56', 'T57', 'T58', 'Y505', 'Y506', 'Z181', 'Z182', 'Z183', 'Z184', 'Z205', 'Z206', 'Z207', 'Z208', 'Z225', 'Z226', 'Z227', 'Z228', 'Z281', 'Z282', 'Z283', 'Z284', 'Z335', 'Z336', 'Z337', 'Z338', 'Z349', 'Z350', 'Z351', 'Z352', 'Z601', 'Z602']",154
7,昌平北站,"116.23778913434062,40.23723084047673","['4471', '4472', '4473', '4474', 'K1015', 'K1016', 'S501', 'S502', 'S503', 'S504', 'S511', 'S512', 'S513', 'S514', 'S515', 'S516', 'S517', 'S518', 'S521', 'S522', 'S523', 'S524']",22
8,昌平站,"116.20123798144513,40.19605807160887","['D1005', 'D1017', 'D1072', 'D1075', 'D1104', 'D1107', 'D1113', 'D1117', 'D6702', 'D6725', 'D9265', 'D9266']",12
9,大兴站,"116.33430496477423,39.72644408532533","['4085', '4086', '6291', '6292', 'K550']",5
